[1025/124015.793:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1025/142859.664:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/142904.687:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/142909.692:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/142914.706:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/142919.723:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/142924.740:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/142929.745:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/142934.762:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/142939.780:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/142944.790:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/142949.800:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
